date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:25	72259/72259	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2007:32:08%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/animate.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/animate6f77.css	(from https://www.palamsilk.com/)
23:59:27	1139/1139	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2007:32:13%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/jquery-cookie.min.js?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/jquery-cookie.min6f77.js	(from https://www.palamsilk.com/)
23:59:29	3349/3349	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2007:32:13%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/jquery.fitvid.js?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/jquery.fitvid6f77.js	(from https://www.palamsilk.com/)
23:59:30	39552/39552	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2007:32:15%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/selectize.min.js?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/selectize.min6f77.js	(from https://www.palamsilk.com/)
23:59:30	60153/60153	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2005%20Jul%202017%2007:32:13%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/jquery.nicescroll.min.js?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/jquery.nicescroll.min6f77.js	(from https://www.palamsilk.com/)
23:59:30	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://www.palamsilk.com/)
23:59:31	98119/98119	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Dec%202018%2006:34:07%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/ps-styles.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/ps-styles6f77.css	(from https://www.palamsilk.com/)
23:59:32	11701/11701	---M--	200	added ('OK')	image/gif	date:Thu,%2007%20Feb%202019%2018:29:30%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/loading.gif?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/loading6f77.gif	(from https://www.palamsilk.com/)
23:59:32	50633/50633	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Jan%202019%2015:23:10%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://www.palamsilk.com/)
23:59:32	6004/6004	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Oct%202018%2021:08:53%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-76ce6d7f3e50d4b8c05874c34d2ea1340c45e5babba61276dadcaeed488ca16a.js	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/assets/shop_events_listener-76ce6d7f3e50d4b8c05874c34d2ea1340c45e5babba61276dadcaeed488ca16a.js	(from https://www.palamsilk.com/)
23:59:33	392/392	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Jul%202017%2018:40:45%20GMT	http://cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-68ca1924c495cfc55dac65f4853e0c9a395387ffedc8fe58e0f2e677f95d7f23.js	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-68ca1924c495cfc55dac65f4853e0c9a395387ffedc8fe58e0f2e677f95d7f23.js	(from https://www.palamsilk.com/)
23:59:34	3108/3108	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2005%20Feb%202019%2013:53:38%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/compiled_assets/scripts.js?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/compiled_assets/scripts6f77.js	(from https://www.palamsilk.com/)
23:59:34	36609/36609	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2020:41:09%20GMT	http://cdn.shopify.com/s/assets/storefront/features-c153b4dfd337b8cca63058ca0dc496f747f74c04fbbd1c8fce2419aac4a71297.js	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/assets/storefront/features-c153b4dfd337b8cca63058ca0dc496f747f74c04fbbd1c8fce2419aac4a71297.js	(from https://www.palamsilk.com/)
23:59:34	356/356	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2006:13:20%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/handyceera.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/handyceera6f77.css	(from https://www.palamsilk.com/)
23:59:36	467/467	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2006:14:15%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/playfairdisplay.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/playfairdisplay6f77.css	(from https://www.palamsilk.com/)
23:59:36	324291/324291	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Jan%202019%2014:45:26%20GMT	http://cdn.shopify.com/s/assets/storefront/express_buttons-c5e5c7645d98c4cf4c1a29cdabc90ab45a62044dd11e47d8c671a71188cd89dc.js	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/assets/storefront/express_buttons-c5e5c7645d98c4cf4c1a29cdabc90ab45a62044dd11e47d8c671a71188cd89dc.js	(from https://www.palamsilk.com/)
23:59:36	398/398	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2006:17:49%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrat-medium.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrat-medium6f77.css	(from https://www.palamsilk.com/)
23:59:37	391/391	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2006:14:51%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrate-light.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrate-light6f77.css	(from https://www.palamsilk.com/)
23:59:38	412/412	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2006:18:33%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrat-semibold.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrat-semibold6f77.css	(from https://www.palamsilk.com/)
23:59:38	454/454	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2006:24:33%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrat-semibolditalic.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/montserrat-semibolditalic6f77.css	(from https://www.palamsilk.com/)
23:59:39	439/439	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Mar%202018%2009:45:52%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/Montserrat-Bold.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/Montserrat-Bold6f77.css	(from https://www.palamsilk.com/)
23:59:40	0/0	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Feb%202019%2018:29:40%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/storepickup.scss.css?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/storepickup.scss6f77.css	(from https://www.palamsilk.com/)
23:59:40	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	(from https://www.palamsilk.com/)
23:59:44	109777/109777	---MCZ	200	added ('OK')	text/html	etag:cacheable:f3a761efc7b932ace7fb513fa011788b	https://www.palamsilk.com/collections	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/www.palamsilk.com/collections.html	(from https://www.palamsilk.com/)
23:59:46	293686/293686	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Nov%202018%2013:09:31%20GMT	http://cdn.shopify.com/s/files/1/2155/9601/t/2/assets/storepickup.js?18365376380047434614	F:/Prakash/Site%20Samples/PalamSilks/PalamSilks/cdn.shopify.com/s/files/1/2155/9601/t/2/assets/storepickup6f77.js	(from https://www.palamsilk.com/)
